DATE,NYOTOT
1948-01-01,25200.0
1948-04-01,25538.4
1948-07-01,26245.8
1948-10-01,26418.9
1949-01-01,25835.7
1949-04-01,25786.7
1949-07-01,25848.9
1949-10-01,26062.5
1950-01-01,26762.0
1950-04-01,27111.1
1950-07-01,28114.0
1950-10-01,29082.8
1951-01-01,29078.7
1951-04-01,29951.1
1951-07-01,30372.7
1951-10-01,30882.4
1952-01-01,30592.6
1952-04-01,31001.6
1952-07-01,31719.3
1952-10-01,32802.6
1953-01-01,33002.3
1953-04-01,33646.3
1953-07-01,33723.1
1953-10-01,33782.5
1954-01-01,34226.0
1954-04-01,34305.7
1954-07-01,34607.4
1954-10-01,35423.0
1955-01-01,35599.2
1955-04-01,36434.4
1955-07-01,37356.5
1955-10-01,38165.1
1956-01-01,38159.9
1956-04-01,38814.2
1956-07-01,39425.7
1956-10-01,40363.8
1957-01-01,40938.6
1957-04-01,41478.2
1957-07-01,41977.3
1957-10-01,42078.8
1958-01-01,42272.1
1958-04-01,42834.1
1958-07-01,43659.9
1958-10-01,44420.5
1959-01-01,44748.3
1959-04-01,45678.8
1959-07-01,46252.7
1959-10-01,46880.4
1960-01-01,47599.0
1960-04-01,47772.3
1960-07-01,48073.1
1960-10-01,48312.9
1961-01-01,48858.3
1961-04-01,49697.5
1961-07-01,50400.1
1961-10-01,51437.6
1962-01-01,51902.5
1962-04-01,52657.3
1962-07-01,53249.5
1962-10-01,53604.5
1963-01-01,54137.9
1963-04-01,54757.2
1963-07-01,55409.5
1963-10-01,56390.1
1964-01-01,57584.9
1964-04-01,58536.6
1964-07-01,59552.7
1964-10-01,60083.6
1965-01-01,60979.1
1965-04-01,61787.6
1965-07-01,63390.8
1965-10-01,64340.6
1966-01-01,65522.6
1966-04-01,66638.0
1966-07-01,67758.4
1966-10-01,69042.4
1967-01-01,70619.2
1967-04-01,71672.1
1967-07-01,73142.0
1967-10-01,74718.1
1968-01-01,76675.9
1968-04-01,79040.7
1968-07-01,81258.1
1968-10-01,83272.5
1969-01-01,81446.8
1969-04-01,82997.8
1969-07-01,84396.7
1969-10-01,85663.8
1970-01-01,87464.1
1970-04-01,89729.1
1970-07-01,91001.5
1970-10-01,91387.1
1971-01-01,93913.2
1971-04-01,95545.2
1971-07-01,96662.8
1971-10-01,98362.8
1972-01-01,98833.5
1972-04-01,101212.9
1972-07-01,103865.2
1972-10-01,107422.7
1973-01-01,107864.4
1973-04-01,108784.1
1973-07-01,109749.5
1973-10-01,111888.8
1974-01-01,113511.2
1974-04-01,116844.6
1974-07-01,119657.1
1974-10-01,122245.6
1975-01-01,123817.2
