Month,Brooklyn,Manhattan,NYC,Queens
2005-01-01,550171,823174,549038,476143
2005-02-01,567033,825708,548961,479115
2005-03-01,588668,830748,556950,475456
2005-04-01,595555,833167,562004,481960
2005-05-01,599470,845476,568940,491279
2005-06-01,621363,865862,580692,492426
2005-07-01,632022,881903,590213,499709
2005-08-01,640489,897433,598662,506768
2005-09-01,645609,912336,605461,510073
2005-10-01,643525,924478,610283,515767
2005-11-01,649749,932054,617473,523737
2005-12-01,650595,931771,618247,524624
2006-01-01,642937,932730,618352,530021
2006-02-01,655449,935072,622598,533894
2006-03-01,654069,930713,620266,531913
2006-04-01,655749,934477,622669,532845
2006-05-01,666272,936124,626370,537416
2006-06-01,672849,944863,630390,539901
2006-07-01,680805,952709,637826,548143
2006-08-01,687535,955372,641700,554783
2006-09-01,698695,962247,646530,555682
2006-10-01,698060,962165,648139,559566
2006-11-01,698866,965299,650586,561295
2006-12-01,706683,960490,649986,559036
2007-01-01,708225,956538,647843,557833
2007-02-01,697435,947764,641566,557507
2007-03-01,693208,938723,635761,553410
2007-04-01,694074,954473,638237,551249
2007-05-01,690397,967756,638564,545212
2007-06-01,689098,981808,639827,546069
2007-07-01,689383,989735,641089,544486
2007-08-01,688756,1000425,642075,541857
2007-09-01,685747,1006059,642421,538395
2007-10-01,685485,1012793,642642,538583
2007-11-01,687899,1019743,643042,532567
2007-12-01,689244,1020796,643147,530400
2008-01-01,681068,1016023,637062,523021
2008-02-01,675780,1021277,636283,521053
2008-03-01,670890,1022573,633128,517580
2008-04-01,662681,1017233,627895,513360
2008-05-01,659313,1023199,627294,511162
2008-06-01,657741,1029204,627035,509160
2008-07-01,657843,1031162,626154,505693
2008-08-01,658522,1028488,623451,500092
2008-09-01,655364,1023509,620937,499665
2008-10-01,652602,1021505,618044,498753
2008-11-01,643982,1014727,611115,495419
2008-12-01,633532,1002584,603807,491607
2009-01-01,615541,991129,593679,485211
2009-02-01,604573,975406,582787,476074
2009-03-01,604454,966463,576409,469715
2009-04-01,596572,939991,567043,466065
2009-05-01,596986,932120,563382,463941
2009-06-01,587618,918584,555443,458463
2009-07-01,588528,906512,551450,453241
2009-08-01,583756,895975,547406,450438
2009-09-01,581714,895477,544667,446067
2009-10-01,576815,892932,541764,443424
2009-11-01,571606,885264,539295,441522
2009-12-01,562799,883549,538420,442502
2010-01-01,562492,884527,536787,438527
2010-02-01,561953,884287,533788,434704
2010-03-01,557405,882817,533021,434411
2010-04-01,555529,883761,531380,432186
2010-05-01,556595,884037,532321,434257
2010-06-01,559389,888937,533812,435193
2010-07-01,554556,888893,530918,432955
2010-08-01,551030,893575,530125,431980
2010-09-01,549446,897974,528984,430052
2010-10-01,549896,894264,526186,427319
2010-11-01,546582,894741,524594,425397
2010-12-01,539968,893680,522263,423597
2011-01-01,540056,896611,522767,424414
2011-02-01,542384,891846,521176,421542
2011-03-01,544801,885716,520330,421668
2011-04-01,544243,888329,519727,418416
2011-05-01,539490,892598,519941,421523
2011-06-01,540957,892291,520260,421692
2011-07-01,542524,893479,520086,421523
2011-08-01,543066,893169,519766,419210
2011-09-01,538704,897892,519557,418906
2011-10-01,533427,898338,516674,414369
2011-11-01,536742,893141,515883,413567
2011-12-01,534443,899435,516455,414534
2012-01-01,536342,899605,515657,413378
2012-02-01,539564,896569,515592,413745
2012-03-01,539260,899997,514915,413931
2012-04-01,541585,892465,514251,414032
2012-05-01,539532,898704,515421,413353
2012-06-01,540192,904731,516235,411484
2012-07-01,535717,914377,515648,408180
2012-08-01,533385,920233,515554,404495
2012-09-01,534461,920765,516906,406325
2012-10-01,540930,919258,517729,405559
2012-11-01,540087,921729,517966,406048
2012-12-01,539882,927702,519417,407252
2013-01-01,541717,928062,518821,405946
2013-02-01,542195,931990,518754,406214
2013-03-01,538468,937834,517380,402625
2013-04-01,547468,945268,522181,405465
2013-05-01,556943,952147,526470,406015
2013-06-01,560380,958854,528475,404994
2013-07-01,568642,971900,533884,407242
2013-08-01,570801,980946,536904,410032
2013-09-01,575843,986993,538537,410365
2013-10-01,577405,993994,540427,411093
2013-11-01,574997,1004123,541146,413266
2013-12-01,573122,1010209,541024,412740
2014-01-01,581272,1016284,545872,417569
2014-02-01,583443,1026586,548757,418624
2014-03-01,584533,1033025,549735,419853
2014-04-01,591428,1038111,551756,419823
2014-05-01,599847,1045160,557453,421401
2014-06-01,604076,1055440,560469,422351
2014-07-01,612960,1063414,566286,425997
